title,address,companyTitle,educational,workExperience,salary,companyNature,companyStatus,companyPeople,type,workTag,salaryMonth,companyTags,hrWork,hrName,companyAvatar,detailUrl,companyUrl,dist,createTime
数据开发工程师,深圳,京北方信息技术股份有限公司,本科,3-5年,12K-15K,上市公司,A轮,少于50人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,深圳,中电金信软件有限公司,本科,3-5年,15K-25K,上市公司,已上市,50-150人,开发工程师,公积金、年底双薪、员工旅游,15薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,南宁,京北方信息技术股份有限公司,本科,3-5年,10K-12K,创业公司,A轮,500-1000人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,成都,深圳市汇合发展有限公司,本科,3-5年,12K-18K,国企,B轮,500-1000人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,成都,深圳市汇合发展有限公司,本科,3-5年,14K-28K,民营公司,不需要融资,500-1000人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,合肥,中电金信软件有限公司,本科,3-5年,12K-17K,民营公司,天使轮,1000-5000人,开发工程师,公积金、年底双薪、员工旅游,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,深圳,深圳三代人科技有限公司,本科,5-10年,15K-18K,民营公司,B轮,150-500人,开发工程师,绩效奖金、餐补、弹性工作,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,拉萨,北京泰斯听科技有限公司,本科,不限,15K-20K,民营公司,天使轮,150-500人,开发工程师,公积金、年底双薪、定期体检,16薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,北京,北京中招互连应用科技有限公司,本科,3-5年,13K-24K,合资,已上市,5000-10000人,开发工程师,公积金、带薪年假、股票期权,13薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,上海,深圳市睿服科技有限公司,本科,1-3年,11K-20K,上市公司,已上市,少于50人,开发工程师,公积金、年底双薪、股票期权,13薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,北京,北京泰斯听科技有限公司,本科,不限,15K-20K,国企,不需要融资,5000-10000人,开发工程师,公积金、年底双薪、员工旅游,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,武汉,北京沃丰时代数据科技有限公司,本科,3-5年,11K-22K,民营公司,已上市,10000人以上,开发工程师,公积金、年底双薪、定期体检,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,上海,奇点浩翰数据技术（北京）有限公司,本科,3-5年,13K-22K,民营公司,已上市,1000-5000人,开发工程师,公积金、年底双薪、弹性工作,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,济南,深圳市睿服科技有限公司,本科,1-3年,9K-13K,上市公司,不需要融资,500-1000人,开发工程师,公积金、年底双薪、弹性工作,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,上海,北京五一视界数字孪生科技股份有限公司,本科,3-5年,25K-40K,民营公司,未融资,150-500人,开发工程师,公积金、带薪年假、定期体检,13薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,北京,融捷教育科技有限公司,本科,1-3年,8K-15K,民营公司,已上市,150-500人,开发工程师,年底双薪、员工旅游、股票期权,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,杭州,深圳市汇合发展有限公司,本科,3-5年,15K-30K,上市公司,D轮及以上,5000-10000人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,拉萨,北京泰斯听科技有限公司,本科,不限,15K-20K,民营公司,A轮,500-1000人,开发工程师,公积金、年底双薪、定期体检,13薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,上海,深圳市睿服科技有限公司,本科,1-3年,11K-20K,上市公司,A轮,10000人以上,开发工程师,公积金、年底双薪、弹性工作,15薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,深圳,深圳市汇合发展有限公司,本科,1-3年,9K-13K,创业公司,已上市,1000-5000人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,14薪,,,,,,,,2026-04-08 09:12:38
高级数据开发工程师,济南,众阳健康科技集团有限公司,本科,3-5年,10K-12K,民营公司,不需要融资,500-1000人,开发工程师,公积金、年底双薪、定期体检,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,南宁,京北方信息技术股份有限公司,本科,3-5年,10K-12K,外资(非欧美),已上市,少于50人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,16薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,成都,京北方信息技术股份有限公司,本科,3-5年,10K-15K,事业单位,B轮,50-150人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,深圳,深圳市睿服科技有限公司,本科,3-5年,15K-20K,外资(非欧美),A轮,500-1000人,开发工程师,公积金、年底双薪、弹性工作,13薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,深圳,深圳三代人科技有限公司,本科,5-10年,15K-18K,民营公司,C轮,5000-10000人,开发工程师,绩效奖金、定期体检、股票期权,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,北京,北京中招互连应用科技有限公司,本科,3-5年,13K-24K,民营公司,A轮,1000-5000人,开发工程师,公积金、带薪年假、定期体检,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,杭州,中华联合财产保险股份有限公司,本科,不限,10K-20K,合资,D轮及以上,500-1000人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,北京,北京车之家信息技术有限公司,本科,5-10年,20K-30K,国企,D轮及以上,150-500人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,13薪,,,,,,,,2026-04-08 09:12:38
高级数据开发工程师,深圳,建信金融科技有限责任公司,本科,5-10年,30K-60K,民营公司,D轮及以上,少于50人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,14薪,,,,,,,,2026-04-08 09:12:38
高级数据开发工程师,广州,中电金信软件有限公司,本科,5-10年,18K-21K,上市公司,C轮,500-1000人,开发工程师,公积金、年底双薪、定期体检,15薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,北京,融捷教育科技有限公司,本科,1-3年,8K-15K,民营公司,已上市,500-1000人,开发工程师,年底双薪、弹性工作、员工旅游,13薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,杭州,深圳市汇合发展有限公司,本科,3-5年,15K-30K,民营公司,已上市,50-150人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,拉萨,北京泰斯听科技有限公司,本科,不限,15K-20K,民营公司,B轮,500-1000人,开发工程师,公积金、年底双薪、餐补,13薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,上海,深圳市睿服科技有限公司,本科,1-3年,11K-20K,民营公司,A轮,1000-5000人,开发工程师,公积金、年底双薪、餐补,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,深圳,深圳市汇合发展有限公司,本科,1-3年,9K-13K,民营公司,B轮,150-500人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,13薪,,,,,,,,2026-04-08 09:12:38
高级数据开发工程师,济南,众阳健康科技集团有限公司,本科,3-5年,10K-12K,外资(欧美),A轮,150-500人,开发工程师,公积金、年底双薪、定期体检,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,南宁,京北方信息技术股份有限公司,本科,3-5年,10K-12K,上市公司,A轮,500-1000人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,成都,京北方信息技术股份有限公司,本科,3-5年,10K-15K,民营公司,已上市,150-500人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,15薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,深圳,深圳市睿服科技有限公司,本科,3-5年,15K-20K,国企,A轮,150-500人,开发工程师,公积金、年底双薪、餐补,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,深圳,深圳三代人科技有限公司,本科,5-10年,15K-18K,上市公司,已上市,500-1000人,开发工程师,绩效奖金、股票期权、定期体检,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,北京,北京中招互连应用科技有限公司,本科,3-5年,13K-24K,创业公司,A轮,150-500人,开发工程师,公积金、带薪年假、股票期权,12薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,杭州,中华联合财产保险股份有限公司,本科,不限,10K-20K,民营公司,已上市,150-500人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,15薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,北京,北京车之家信息技术有限公司,本科,5-10年,20K-30K,民营公司,D轮及以上,500-1000人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,13薪,,,,,,,,2026-04-08 09:12:38
高级数据开发工程师,深圳,建信金融科技有限责任公司,本科,5-10年,30K-60K,民营公司,天使轮,150-500人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,16薪,,,,,,,,2026-04-08 09:12:38
高级数据开发工程师,广州,中电金信软件有限公司,本科,5-10年,18K-21K,上市公司,不需要融资,少于50人,开发工程师,公积金、年底双薪、餐补,15薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,北京,融捷教育科技有限公司,本科,1-3年,8K-15K,民营公司,不需要融资,50-150人,开发工程师,年底双薪、股票期权、员工旅游,13薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,杭州,深圳市汇合发展有限公司,本科,3-5年,15K-30K,上市公司,已上市,5000-10000人,开发工程师,公积金、年底双薪、带薪年假、绩效奖金,14薪,,,,,,,,2026-04-08 09:12:38
数据开发工程师,拉萨,北京泰斯听科技有限公司,本科,不限,15K-20K,合资,天使轮,少于50人,开发工程师,公积金、年底双薪、定期体检,13薪,,,,,,,,2026-04-08 09:12:38
